"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","97","test_create_book","user.tests","Mon Dec 09 14:05:13 CST 2024","passed","Mon Dec 09 14:05:13 CST 2024","","test_book_manager","",""
"","185","test_initiate_purchase_with_invalid_bookstore","user.tests","Mon Dec 09 14:05:14 CST 2024","passed","Mon Dec 09 14:05:15 CST 2024","","test_book_manager","",""
"","66","test_create_and_manage_kubernetes_cluster","user.tests","Mon Dec 09 14:05:08 CST 2024","passed","Mon Dec 09 14:05:08 CST 2024","","test_big_data","",""
"","131","test_create_user","user.tests","Sat Dec 07 16:03:21 CST 2024","passed","Sat Dec 07 16:03:21 CST 2024","","test_book","",""
"","385","test_create_logs_for_task_execution","user.tests","Mon Dec 09 14:05:11 CST 2024","passed","Mon Dec 09 14:05:12 CST 2024","","test_big_data","",""
"","255","test_execute_component_and_create_task","user.tests","Mon Dec 09 14:05:09 CST 2024","passed","Mon Dec 09 14:05:09 CST 2024","","test_big_data","",""
"","408","test_create_alerts_for_failed_tasks","user.tests","Mon Dec 09 14:05:12 CST 2024","passed","Mon Dec 09 14:05:12 CST 2024","","test_big_data","",""
"","414","test_complete_task_with_failure","user.tests","Mon Dec 09 14:05:10 CST 2024","passed","Mon Dec 09 14:05:10 CST 2024","","test_big_data","",""
"","444","test_create_user_with_duplicate_email","user.tests","Sat Dec 07 16:03:21 CST 2024","passed","Sat Dec 07 16:03:22 CST 2024","","test_book","",""
"","253","test_create_and_schedule_dag","user.tests","Mon Dec 09 14:05:08 CST 2024","passed","Mon Dec 09 14:05:09 CST 2024","","test_big_data","",""
"","329","test_schedule_dag_with_multiple_components","user.tests","Mon Dec 09 14:05:11 CST 2024","passed","Mon Dec 09 14:05:11 CST 2024","","test_big_data","",""
"","62","test_create_bookstore","user.tests","Mon Dec 09 14:05:13 CST 2024","passed","Mon Dec 09 14:05:13 CST 2024","","test_book_manager","",""
"","386","test_complete_task_successfully","user.tests","Mon Dec 09 14:05:09 CST 2024","passed","Mon Dec 09 14:05:10 CST 2024","","test_big_data","",""
"","376","test_purchase_transaction_atomicity","user.tests","Mon Dec 09 14:05:16 CST 2024","passed","Mon Dec 09 14:05:16 CST 2024","","test_book_manager","",""
"","1080","test_initiate_purchase","user.tests","Sat Dec 07 16:03:23 CST 2024","passed","Sat Dec 07 16:03:24 CST 2024","","test_book","",""
"","244","test_initiate_purchase_with_invalid_books","user.tests","Mon Dec 09 14:05:15 CST 2024","passed","Mon Dec 09 14:05:15 CST 2024","","test_book_manager","",""
"","334","test_generate_billing_on_task_completion","user.tests","Mon Dec 09 14:05:12 CST 2024","passed","Mon Dec 09 14:05:13 CST 2024","","test_big_data","",""
"","193","test_create_coach","user.tests","Sun Dec 08 20:04:33 CST 2024","passed","Sun Dec 08 20:04:33 CST 2024","","test_book_tiyu","",""
"","681","test_initiate_purchase","user.tests","Mon Dec 09 14:05:14 CST 2024","passed","Mon Dec 09 14:05:14 CST 2024","","test_book_manager","",""
"","87","test_create_bookstore","user.tests","Sat Dec 07 16:03:22 CST 2024","passed","Sat Dec 07 16:03:22 CST 2024","","test_book","",""
"","196","test_create_book","user.tests","Sat Dec 07 16:03:22 CST 2024","passed","Sat Dec 07 16:03:22 CST 2024","","test_book","",""
"","532","test_purchase_total_amount_calculation","user.tests","Sat Dec 07 16:03:25 CST 2024","passed","Sat Dec 07 16:03:26 CST 2024","","test_book","",""
"","753","test_customer_create_booking","user.tests","Sun Dec 08 20:04:35 CST 2024","broken","Sun Dec 08 20:04:35 CST 2024","","test_book_tiyu","",""
"","221","test_associate_billing_with_task","user.tests","Mon Dec 09 14:05:10 CST 2024","passed","Mon Dec 09 14:05:11 CST 2024","","test_big_data","",""
"","612","test_create_basketball_class","user.tests","Sun Dec 08 20:04:34 CST 2024","passed","Sun Dec 08 20:04:34 CST 2024","","test_book_tiyu","",""
"","258","test_initiate_purchase_invalid_bookstore","user.tests","Sat Dec 07 16:03:24 CST 2024","passed","Sat Dec 07 16:03:24 CST 2024","","test_book","",""
"","62","test_create_user","user.tests","Mon Dec 09 14:05:13 CST 2024","passed","Mon Dec 09 14:05:13 CST 2024","","test_book_manager","",""
"","320","test_create_payment_system","user.tests","Sun Dec 08 20:04:32 CST 2024","passed","Sun Dec 08 20:04:33 CST 2024","","test_book_tiyu","",""
"","356","test_initiate_purchase_invalid_book","user.tests","Sat Dec 07 16:03:24 CST 2024","passed","Sat Dec 07 16:03:25 CST 2024","","test_book","",""
"","808","test_bulk_create_purchase_items","user.tests","Mon Dec 09 14:05:15 CST 2024","passed","Mon Dec 09 14:05:16 CST 2024","","test_book_manager","",""
